Autor_Tema_Publicação;Citação
A_Cadeira_de_Prata;Jill, você é boa de acreditar em coisas... quer dizer... nas coisas que fariam os outros aqui cair na gargalhada?
A_Cadeira_de_Prata;Esperavam encontrar uma encosta cinzenta indo juntar-se ao céu tristonho do outono. Em vez disso feriu-lhes os olhos o clarão do sol, que entrava pelo portal como a luz do verão quando se abre a porta da garagem.
A_Cadeira_de_Prata;"Pense agora o seguinte: o abismo não acaba onde devia acabar, mas continua, mais fundo, mais fundo, vinte vezes mais fundo. E lá embaixo você nota umas coisinhas brancas; à primeira vista parecem carneiros; olhando melhor, descobre que são nuvens, nuvens imensas e gordas. Enfiando o olhar entre as nuvens, você consegue afinal ver um pouquinho do fundo do abismo, mas é tão distante que se torna impossível afirmar se é feito de relva, de árvores, de terra ou de água."
A_Cadeira_de_Prata;Virou-se e olhou. A criatura era um Leão.
A_Cadeira_de_Prata;Chorar funciona mais ou menos enquanto dura. Porém, mais cedo ou mais tarde, é preciso parar de chorar e tomar uma decisão.
A_Cadeira_de_Prata;Se está com sede, beba.
A_Cadeira_de_Prata;Não teriam chamado por mim se eu não houvesse chamado por vocês.
A_Cadeira_de_Prata;"Primeiro: logo que Eustáquio colocar os pés em Nárnia, encontrará um velho e grande amigo. Deve cumprimentar logo esse amigo; se o fizer, vocês dois terão uma grande ajuda. Segundo: vocês devem viajar para longe de Nárnia, para o Norte, até encontrarem a cidade em ruínas dos gigantes. Terceiro: encontrarão uma inscrição numa pedra da cidade em ruínas, devendo proceder como ordena a inscrição. Quarto: reconhecerão o príncipe perdido (caso o encontrem), pois será a primeira pessoa em toda a viagem a pedir alguma coisa em meu nome, em nome de Aslam."
A_Cadeira_de_Prata;Era assustador chegar à beira do abismo, principalmente porque o Leão não ia na frente, mas ao lado dela – e sem fazer o menor ruído com as patas.
A_Cadeira_de_Prata;"Antes de tudo, lembre-se dos sinais! Repita-os ao amanhecer, antes de dormir e, caso acordar, durante a noite. Por mais estranhos que sejam os acontecimentos, de maneira alguma deixe de obedecer aos sinais. Em segundo lugar, aviso-a de que falei, aqui na montanha, com a maior clareza: não o farei sempre em Nárnia. O ar aqui na montanha é limpo, e aqui o seu espírito também é limpo; em Nárnia, o ar será mais pesado. Cuidado para que o ar pesado não confunda seu espírito (...) Lembre-se dos sinais, acredite nos sinais. Nada mais importa..."
